Origem,Data protocolo,Tipo de Tecnologia,Tema da Saúde,Demandante,Nome da tecnologia,Status,Indicação,Motivo da solicitação,Data decisão
Interna,2012-06-01,Procedimento,Ginecologia/Urologia,Secretaria de Atenção à Saúde  SAS/MS,Histerectomia com anexectomia bilateral,Processo encerrado: decisão de incorporação no SUS,Processo transexualizador,Incorporação,2014-05-16
Interna,2012-06-01,Procedimento,Ginecologia/Urologia,Secretaria de Atenção à Saúde  SAS/MS,Colpectomia em usuário sob processo sexualizador,Processo encerrado: decisão de incorporação no SUS,Processo transexualizador,Incorporação,2014-05-16
Interna,2012-06-01,Procedimento,Ginecologia/Urologia,Secretaria de Atenção à Saúde  SAS/MS,Cirurgia complementar de redesignação sexual,Processo encerrado: decisão de incorporação no SUS,Processo transexualizador,Incorporação,2014-05-16
Interna,2012-06-01,Procedimento,Ginecologia/Urologia,Secretaria de Atenção à Saúde  SAS/MS,Administração hormonal Testosterona,Processo encerrado: decisão de incorporação no SUS,Processo transexualizador,Incorporação,2014-05-16
Interna,2012-06-01,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Naproxeno,Processo encerrado: decisão de incorporação no SUS,Tratamento da espondilite ancilosante,Incorporação,2012-10-04
Interna,2012-06-01,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Clobetasol,Processo encerrado: decisão de incorporação no SUS,Tratamento da psoríase,Incorporação,2012-10-04
Interna,2012-06-25,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Maraviroque,Processo encerrado: decisão de incorporação no SUS,Pacientes em terapia antirretroviral,Incorporação,2012-10-25
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Vacina contra influenza,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Produto,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Exame diagnóstico,Processo encerrado: decisão de incorporação no SUS,Deficiência de alfa1 antitripsina para portadores de doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Budesonida,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Beclometasona,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Fenoterol,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Salbutamol,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Formoterol,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Medicamento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Salmeterol,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-04,Procedimento,Pneumologia,Secretaria de Atenção à Saúde  SAS/MS,Oxigenoterapia domiciliar,Processo encerrado: decisão de incorporação no SUS,Tratamento da doença pulmonar obstrutiva crônica (DPOC),Incorporação,2012-09-26
Interna,2012-07-05,Medicamento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Alfainterferona,Processo encerrado: decisão de incorporação no SUS,Quimioterapia adjuvante do melanoma cutâneo em estágio clínico III,Incorporação,2013-01-21
Interna,2012-07-05,Produto,Cardiovascular,"Secretaria de Ciência, Tecnologia e Insumos Estratégicos SCTIE/MS",Oclusores septais,Processo encerrado: a pedido do demandante,Defeitos do septo interatrial,Incorporação,
Interna,2012-07-09,Procedimento,Infectologia,Secretaria de Estado da Saúde de São Paulo  SES/SP,Teste de dosagem de adenosina deaminase (ADA),Processo encerrado: decisão de incorporação no SUS,Diagnóstico precoce de tuberculose extrapulmonar,Incorporação,2014-05-16
Interna,2012-07-10,Procedimento,Oftalmologia,Secretaria de Atenção à Saúde  SAS/MS,Tomografia de coerência óptica (OCT),Processo encerrado: decisão de incorporação no SUS,Avaliação de doenças da retina,Incorporação,2013-06-13
Interna,2012-07-10,Medicamento,Saúde da Mulher,Secretaria de Atenção à Saúde  SAS/MS,Heparina de baixo peso molecular,Processo encerrado: decisão de não incorporação no SUS,Gestantes e puérperas com trombofilia,Incorporação,2013-07-04
Interna,2012-07-11,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Vacina tetraviral,Processo encerrado: decisão de incorporação no SUS,"Varicela, sarampo, caxumba e rubéola",Incorporação,2013-01-21
Interna,2012-08-02,Procedimento,Gastroenterologia ,Secretaria de Atenção à Saúde  SAS/MS,CID K51.4 PCDT da Retocolite Ulcerativa,Processo encerrado: decisão de exclusão do SUS,Retocolite ulcerativa,Exclusão ,2012-10-05
Interna,2012-08-02,Produto,Nefrologia,Secretaria de Atenção à Saúde  SAS/MS,Pesquisa de fração C4D e imunoglobulina,Processo encerrado: decisão de incorporação no SUS,Tratamento da rejeição aguda mediada por anticorpos no transplante renal,Incorporação,2012-10-04
Interna,2012-08-02,Procedimento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Dosagem do antígeno CA125,Processo encerrado: decisão de incorporação no SUS,Acompanhamento de tratamento e seguimento póstratamento de neoplasia maligna epitelial de ovário,Incorporação,2012-10-04
Interna,2012-08-20,Medicamento,Gastroenterologia ,Secretaria de Atenção à Saúde  SAS/MS,Polivitamínico,Processo encerrado: a pedido do demandante,Obesidade póscirurgia bariátrica,Incorporação,
Interna,2012-08-29,Procedimento,Hematologia,Secretaria de Atenção à Saúde  SAS/MS,Teste de amplificação de ácidos nucléicos (NAT),Processo encerrado: decisão de incorporação no SUS,Detecção dos vírus da imunodeficiência humana (HIV) e da hepatite C (HCV),Incorporação,2013-06-13
Interna,2012-09-06,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Metotrexato injetável,Processo encerrado: decisão de incorporação no SUS,Tratamento da espondilite ancilosante,Incorporação,2013-09-11
Interna,2012-09-17,Medicamento,Infectologia,"Secretaria de Ciência, Tecnologia e Insumos Estratégicos SCTIE/MS",Flucitosina,Processo encerrado: a pedido do demandante,Criptococose,Incorporação,
Interna,2012-09-17,Medicamento,Ginecologia,Secretaria de Atenção à Saúde  SAS/MS,Etinil estradiol + levonorgestrel,Processo encerrado: a pedido do demandante,Contraceptivo feminino,Incorporação,
Interna,2012-10-03,Procedimento,Hematologia,Secretaria de Atenção à Saúde  SAS/MS,Teste do suor Dosagem de cloreto,Processo encerrado: decisão de incorporação no SUS,Diagnóstico da fibrose cística,Incorporação,2013-06-13
Interna,2012-10-04,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,"Vacina adsorvida difteria, tétano e pertussis (acelular) dTpa",Processo encerrado: decisão de incorporação no SUS,Vacinação de gestantes,Incorporação,2013-09-11
Interna,2012-10-10,Procedimento,Hematologia,Secretaria de Atenção à Saúde  SAS/MS,Fator VIII de origem recombinante,Processo encerrado: decisão de incorporação no SUS,Profilaxia primária e tratamento de pacientes com hemofilia A,Incorporação,2013-03-07
Interna,2012-10-31,Procedimento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Linfadenectomia seletiva guiada (Linfonodo sentinela),Processo encerrado: decisão de incorporação no SUS,Oncologia,Incorporação,2013-06-13
Interna,2012-11-19,Produto,Imunologia,Secretaria de Atenção à Saúde  SAS/MS,Fórmula extensamente hidrolisada,Processo encerrado: a pedido do demandante,Alergia a proteína do leite de vaca,Incorporação,
Interna,2012-11-19,Produto,Imunologia,Secretaria de Atenção à Saúde  SAS/MS,Fórmula a base de soja,Processo encerrado: a pedido do demandante,Alergia a proteína do leite de vaca,Incorporação,
Interna,2012-11-19,Produto,Imunologia,Secretaria de Atenção à Saúde  SAS/MS,Fórmula de aminoácidos,Processo encerrado: a pedido do demandante,Alergia a proteína do leite de vaca,Incorporação,
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Adaptação postural em cadeiras de rodas,Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cadeira de rodas para banho em concha infantil,Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cadeira de rodas para banho com encosto reclinável,Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cadeira de rodas para banho com aro de propulsão,Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cadeira de rodas tipo monobloco,Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cadeira de rodas (acima de 90kg),Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-11-27,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cadeira de rodas motorizada,Processo encerrado: decisão de incorporação no SUS,Problema de locomoção Não relacionado a ato cirúrgico,Incorporação,2013-05-08
Interna,2012-12-07,Procedimento,Ginecologia/Urologia,Secretaria de Atenção à Saúde  SAS/MS,Processo transexualizador Mastectomia Simples bilateral; histerectomia com anexectomia bilateral e colpectomia; cirurgias complementares de redesignação sexual; administração hormonal de testosterona e acompanhamento de usuários no processo transexualizador apenas para tratamento clínico,Processo encerrado: decisão de incorporação no SUS,Procedimento relativo ao processo transexualizador,Incorporação,2014-05-16
Interna,2012-12-12,Produto,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Teste Xpert MTB/RIF,Processo encerrado: decisão de incorporação no SUS,Diagnóstico de casos novos de tuberculose e detecção de resistência à rifampicina,Incorporação,2013-09-11
Interna,2012-12-28,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Doxiciclina injetável,Processo encerrado: decisão de incorporação no SUS,Febre maculosa brasileira e outras riquetsioses,Incorporação,2014-05-16
Interna,2012-12-29,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Cloranfenicol suspensão,Processo encerrado: decisão de incorporação no SUS,Febre maculosa brasileira e outras riquetsioses,Incorporação,2014-05-16
Interna,2013-01-23,Produto,Otorrinolaringologia,Secretaria de Atenção à Saúde  SAS/MS,Sistema de frequência modulada pessoal (FM),Processo encerrado: decisão de incorporação no SUS,Equipamento que possibilita a acessibilidade da criança e/ou jovem com deficiência auditiva na escola,Incorporação,2013-05-08
Interna,2013-02-05,Medicamento,Hematologia,Secretaria de Atenção à Saúde  SAS/MS,Penicilina oral,Processo encerrado: decisão de incorporação no SUS,Profilaxia de infecção em crianças menores de 5 anos com doença falciforme,Incorporação,2013-09-11
Interna,2013-02-05,Medicamento,Hematologia,Secretaria de Atenção à Saúde  SAS/MS,Hidroxiureia,Processo encerrado: decisão de incorporação no SUS,Crianças com doença falciforme,Incorporação,2013-06-13
Interna,2013-03-07,Medicamento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,TSH recombinante,Processo encerrado: por decisão da Conitec,Câncer de tireoide,Incorporação,
Interna,2013-04-04,Medicamento,Cardiovascular,"Secretaria de Ciência, Tecnologia e Insumos Estratégicos SCTIE/MS",Ambrisentana e bosentana,Processo encerrado: decisão de incorporação no SUS,"Hipertensão arterial pulmonar (HAP) na falha primária, secundária ou contraindicação da sildenafila",Incorporação,2013-11-08
Interna,2013-05-09,Medicamento,Dermatologia,Secretaria de Atenção à Saúde  SAS/MS,Metotrexato injetável,Processo encerrado: decisão de incorporação no SUS,Psoríase,Incorporação,2013-09-10
Interna,2013-05-15,Procedimento,Dermatologia,Secretaria de Atenção à Saúde  SAS/MS,Terapia por pressão subatmosférica (VAC),Processo encerrado: decisão de não incorporação no SUS,Lesões traumáticas agudas extensas,Incorporação,2014-09-26
Interna,2013-06-04,Medicamento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Rituximabe,Processo encerrado: decisão de incorporação no SUS,"Linfoma Não Hodgkin de células B, folicular, CD20 positivo, em 1ª e 2ª linha",Incorporação,2013-12-30
Interna,2013-06-04,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,"Avaliação diagnóstica, procedimentos laboratoriais e aconselhamento genético",Processo encerrado: decisão de incorporação no SUS,Diagnóstico de doenças raras associadas a anomalias congênitas,Incorporação,2014-01-31
Interna,2013-06-05,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Análise de DNA pela técnica Southern Blot,Processo encerrado: decisão de incorporação no SUS,Diagnóstico de doenças raras associadas a anomalias congênitas,Incorporação,2014-01-31
Interna,2013-06-24,Medicamento,Hematologia,Secretaria de Atenção à Saúde  SAS/MS,Mesilato de imatinibe,Processo encerrado: decisão de incorporação no SUS,Para o tratamento da síndrome hipereosinfílica,Incorporação,2014-10-08
Interna,2013-06-25,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Materiais especiais Materiais elásticos para modelagem de cotos,Processo encerrado: decisão de incorporação no SUS,"Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Materiais especiais Tábua/prancha para transferência,Processo encerrado: decisão de incorporação no SUS,"Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Cinta para transferência,Processo encerrado: decisão de incorporação no SUS,"Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Mesa de atividade para cadeiras de rodas (tábua mesa),Processo encerrado: decisão de incorporação no SUS,"Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Almofadas de assento com células de ar interconectadas,Processo encerrado: decisão de incorporação no SUS,"Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Procedimento,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Almofada de assento para cadeira de rodas,Processo encerrado: decisão de incorporação no SUS,"Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Produto,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Bengala de 4 pontas,Processo encerrado: decisão de incorporação no SUS,"Problema de locomoção na Tabela de Procedimentos, Medicamentos e OPM do SUS",Incorporação,2014-06-11
Interna,2013-06-25,Produto,Pessoa com deficiência ,Secretaria de Atenção à Saúde  SAS/MS,Bota imobilizadora para tornozelo,Processo encerrado: a pedido do demandante,Problema de locomoção,Incorporação,
Interna,2013-06-25,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,"Avaliação diagnóstica, procedimentos laboratoriais e aconselhamento genético",Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-01,Medicamento,Oncologia,Secretaria de Estado da Saúde de São Paulo  SES/SP,Temozolamida,Processo encerrado: decisão de não incorporação no SUS,Para o tratamento pósoperatório de pacientes portadores de gliomas de alto grau,Incorporação,2014-09-26
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Azatioprina,Processo encerrado: decisão de incorporação no SUS,Artrite reumatoide,Incorporação,2014-05-16
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Naproxeno,Processo encerrado: decisão de incorporação no SUS,Artrite reumatoide,Incorporação,2014-05-16
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Adalimumabe,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Certolizumabe pegol,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Etanercepte,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Infliximabe,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Golimumabe,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Rituximabe,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Abatacepte,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Tocilizumabe,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão e Vasculite Reumatoide,Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Leflunomida,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052),Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Cloroquina,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052),Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Hidroxicloroquina,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052),Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Metotrexato,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052),Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Sulfassalazina,Processo encerrado: decisão de exclusão do SUS,Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052),Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Reumatologia,Secretaria de Atenção à Saúde  SAS/MS,Ciclosporina,Processo encerrado: decisão de exclusão do SUS,"Tratamento de Síndrome de Felty (CID M050), Artrite reumatoide com comprometimento de outros órgãos e sistemas (M053), outras artrites reumatoides soropositivas (M058), Artrite reumatoide soronegativa (M060) e outras artrites reumatoides especificadas (M068)",Exclusão ,2013-12-17
Interna,2013-07-04,Medicamento,Infectologia,Secretaria de Vigilância em Saúde  SVS/MS,Vacina contra HPV,Processo encerrado: decisão de incorporação no SUS,Prevenção de câncer de colo do útero,Incorporação,2013-11-18
Interna,2013-07-08,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Isoeletrofocalização para transferrina deficiente em carboidrato,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-08,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Dosagem quantitativa de carnitina perfil de acilcarnitinas,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-08,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Identificação de oligassacarídeos e sialossacarídeos por cromatografia (camada delgada),Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-08,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Identificação de glicídios urinários por cromatografia (camada delgada),Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-08,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,"Identificação de glicosaminoglicanos urinários por cromatografia em camada delgada, eletroforese e dosagem quantitativa",Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-09,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Ensaios enzimáticos em tecido cultivado para diagnóstico de erros inatos do metabolismo,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-09,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Ensaios enzimáticos em eritrócitos para diagnóstico erros inatos do metabolismo,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-09,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Dosagem quantitativa de ácidos orgânicos para o diagnóstico de erros inatos do metabolismo,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-09,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,"Ensaios enzimáticos no plasma, leucócitos e tecidos para erros inatos do metabolismo",Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-09,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Dosagem quantitativa de aminoácidos para diagnóstico de erros inatos do metabolismo,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-09,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Aconselhamento genético,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-26,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Procedimento laboratorial: identificação de mutação ou rearranjos por PCR/QPCR/PCR e QPCR sensível à metilação,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-26,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Procedimento laboratorial: identificação de alteração cromossômica submicroscópica por ArrayCGH,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-26,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,Identificação de mutação por sequenciamento por ampliação de 500 pares de base,Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-26,Procedimento,Genética,Secretaria de Atenção à Saúde  SAS/MS,"Procedimento laboratorial: FISH em metáfase ou Núcleo interfásico, por doença",Processo encerrado: decisão de incorporação no SUS,Doenças raras,Incorporação,2014-01-31
Interna,2013-07-29,Procedimento,Oncologia,Secretaria de Atenção à Saúde  SAS/MS,Iodoterapia de baixas doses (30mCi e 50mCi) em regime ambulatorial,Processo encerrado: decisão de incorporação no SUS,Carcinoma diferenciado da tireoide classificado como de baixo risco ou de risco intermediário,Incorporação,2014-05-16
